Place,City/ Part of,Fee Type,is_required,audience,price,Description
Temple of Leah,Cebu City,Entrance,1,General,100,
Cebu Taoist Temple,Cebu City,Entrance,1,General,0,
Mactan Shrine,Cebu City,Entrance,1,General,0,
Magellan's Cross,Cebu City,Entrance,1,General,0,
Basilica Minore Del Santo Nino,Cebu City,Entrance,1,General,0,
Fort San Pedro,Cebu City,Entrance,1,General,30,
Upside Down World,Mandaue City,Entrance,1,General,250,
Casa Gorordo Museum,Cebu City,Entrance,1,Regular,100,
Casa Gorordo Museum,,Entrance,1,Students,50,
Casa Gorordo Museum,,Entrance,1,Person with disability,50,
Casa Gorordo Museum,,Entrance,1,Seniors,50,
Cebu Provincial Museum,Cebu City,Entrance,1,Adult,30,
Cebu Provincial Museum,,Entrance,1,Students,10,
Cebu Provincial Museum,,Entrance,1,Senior Citizen,10,
Jesuit House Museum,Cebu City,Entrance,1,General,50,
Yap-San Diego Ancestral House,Cebu City,Entrance,1,Adult,100,
Yap-San Diego Ancestral House,,Entrance,1,Seniors,50,
Yap-San Diego Ancestral House,,Entrance,1,Students,50,
Island Eco Tourism Park,Lapu Lapu City,Entrance,1,General,20,
Island Eco Tourism Park,,Table Rental,0,General,100,per day
Island Eco Tourism Park,,Bike Rental,0,General,10,per hour
Island Eco Tourism Park,,Paddle Boat Rental,0,General,100,per hour
Halad Museum,Cebu City,Entrance,1,General,10,
BPI Museum,Cebu City,Entrance,1,General,0,
Jumalon Butterfly Sanctuary And Art Gallery,Cebu City,Entrance,1,Children,50,12 years old below
Jumalon Butterfly Sanctuary And Art Gallery,Cebu City,Entrance,1,Adult,100,13 years old above
Heritage of Cebu Monument,Cebu City,Entrance,1,General,0,
Kabang Falls (Budlaan Falls),Cebu City,Entrance,1,General,0,
Cebu Happy World Museum,Cebu City,Entrance,1,Adult,350,19 years old above
Cebu Happy World Museum,,Entrance,1,Children,250,4 to 18 years old
Cebu Happy World Museum,,Entrance,1,Person with disability,250,
Cebu Happy World Museum,,Entrance,1,Senior Citizen,250,
Bagacay Point Lighthouse,Liloan,Entrance,1,General,0,
Cebu Metropolitan Cathedral,Cebu City,Entrance,1,General,0,
D' Family Park,Cebu City,Entrance,1,Adult,15,
D' Family Park,Cebu City,Entrance,1,Children,10,
D' Family Park,,Car Parking,0,General,25,
D' Family Park,,Motorcycle Parking,0,General,10,
D' Family Park,,Swimming,0,Adult,35,
D' Family Park,,Swimming,0,Children,25,
Crocolandia ,Talisay,Entrance,1,Adult,200,
Crocolandia ,,Entrance,1,Children,150,
Sirao Garden,Cebu City,Entrance,1,Regular,100,
