Place,Address,IsClosed,Start,End,Latitude,Longitude,Image,Seafood,Vegan-friendly,Chinese,Filipino,Italian,Japanese,Korean,Takeout,Dine-in,Delivery,Cafe,Fastfood,American,Asian,Fusion,European,International,
CookPub - Modern Korean Bistro,"2nd Floor, Island Central Mactan, MEPZ Ecozone, Lapu Lapu 6015 Philippines",0,10:00:00,22:00:00,10.32592629,123.9760948,/location_images/CookPub_-_Modern_Korean_Bistro/CookPub_-_Modern_Korean_Bistro.jpg,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,
Buko Seaside Bar and Restaurant,"Kontiki Datag Maribago, Lapu Lapu 6015 Philippines",0,11:30:00,22:00:00,10.28216659,123.9990447,/location_images/Buko_Seaside_Bar_and_Restaurant/Buko_Seaside_Bar_and_Restaurant.jpg,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,
Smooth Cafe Moalboal,"Panagsama Road, Moalboal 6032 Philippines",0,6:30:00,11:30:00,9.950073298,123.367122,/location_images/Smooth_Cafe_Moalboal/Smooth_Cafe_Moalboal.jpg,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,
Gold Mango Grill & Restaurant,"2 M.L. Quezon National Highway Maribago, Lapu Lapu 6015 Philippines",0,11:00:00,22:00:00,10.29162402,123.998593,/location_images/Gold_Mango_Grill_%26_Restaurant/Gold_Mango_Grill__Restaurant.jpg,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,
Scape Skydeck,"M. L. Quezon National Highway Pusok, Lapu Lapu 6015 Philippines",0,10:00:00,23:59:59,10.32342493,123.9728723,/location_images/Scape_Skydeck/Scape_Skydeck.jpg,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,
The Three Bears,"2575 Panagsama Beach Road, Moalboal 6032 Philippines",0,12:00:00,22:00:00,9.948946311,123.3700384,/location_images/The_Three_Bears/The_Three_Bears.jpg,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,
Hungry Monkeys,"Panagsama Road, Moalboal 6032 Philippines",0,11:00:00,23:59:59,9.950134693,123.3670202,/location_images/Hungry_Monkeys/Hungry_Monkeys.jpg,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,
Zubuchon,"SM City Seaside, Cebu City 6000 Philippines",0,10:00:00,22:00:00,10.28083504,123.8817594,/location_images/Zubuchon/Zubuchon.jpg,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,
The Oriental Spice Gourmet,"Maximo V. Patalinghug Jr. Avenue‎ Basak, Lapu Lapu 6015 Philippines",0,11:00:00,21:00:00,10.29679084,123.9641892,/location_images/The_Oriental_Spice_Gourmet/The_Oriental_Spice_Gourmet.jpg,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,
AA BBQ,"Salinas Drive Lahug, Cebu City 6000 Philippines",0,10:00:00,22:00:00,10.32979794,123.9011611,/location_images/AA_BBQ/AA_BBQ.jpg,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,
